cefr_level,category,lemma,term,translation,article,aliases
B1,adverbs,sogar,sogar,actually,,
B1,nouns,Art,der Art,kind,der,
B1,nouns,Stehen,der Stehen,standing position,der,
B1,adverbs,gerne,gerne,willingly,,
B1,nouns,Seite,die Seite,spin,die,
B1,nouns,Spiel,der Spiel,bearing play,der,
B1,nouns,Weit,der Weit,further details,der,
B1,adjectives,wenig,wenig,little,,
B1,nouns,Liebe,die Liebe,love,die,
B1,nouns,Land,der Land,federal state,der,
B1,prepositions,neben,neben,next to,,
B1,prepositions,statt,statt,instead of,,
B1,nouns,Platz,der Platz,square,der,
B1,verbs,nehmen,nehmen,take a medication,,
B1,adverbs,darüber,darüber,across,,
B1,nouns,Vier,der Vier,four,der,
B1,verbs,sagen,sagen,spoken,,
B1,adverbs,kurz,kurz,momentarily,,
B1,adverbs,sonst,sonst,otherwise,,
B1,verbs,bekommen,bekommen,received,,
B1,nouns,Euro,der Euro,euro,der,
B1,nouns,Spielen,der Spielen,play,der,
B1,nouns,Bild,der Bild,picture,der,
B1,verbs,bleiben,bleiben,remains,,
B1,adverbs,je,je,ever,,
B1,adverbs,weit,weit,ample,,
B1,adverbs,eben,eben,flush,,
B1,nouns,Glauben,der Glauben,faith,der,
B1,adverbs,leider,leider,worse luck,,
B1,nouns,Stellen,der Stellen,positions of employment,der,
B1,nouns,Unternehmen,der Unternehmen,concern,der,
B1,nouns,Woche,die Woche,week,die,
B1,adverbs,daher,daher,hence,,
B1,nouns,Grund,der Grund,motive,der,
B1,adverbs,kaum,kaum,hardly,,
B1,adverbs,daran,daran,at it,,
B1,nouns,Halt,der Halt,stop,der,
B1,nouns,Nacht,der Nacht,night,der,
B1,nouns,Thema,das Thema,issue,das,
B1,adverbs,allein,allein,alone,,
B1,adverbs,direkt,direkt,direct,,
B1,adverbs,echt,echt,authentic,,
B1,nouns,Halten,der Halten,retention of sb./sth.,der,
B1,verbs,zeigen,zeigen,evidences,,
B1,adverbs,überhaupt,überhaupt,whatsoever,,
B1,adverbs,anders,anders,in other ways,,
B1,adverbs,lang,lang,oblong,,
B1,prepositions,dank,dank,thank,,
B1,adverbs,ebenfalls,ebenfalls,as well,,
B1,adverbs,eher,eher,rather,,
B1,prepositions,hinter,hinter,behind,,
B1,nouns,Musik,die Musik,music,die,
B1,nouns,München,das München,Munich,das,
B1,prepositions,pro,pro,per,,
B1,adverbs,bald,bald,soon,,
B1,nouns,Erhalten,der Erhalten,receipt,der,
B1,nouns,Ort,der Ort,locality,der,
B1,adverbs,sofort,sofort,right away,,
B1,nouns,Aller,der Aller,Aller,der,
B1,nouns,Auto,der Auto,car,der,
B1,verbs,bringen,bringen,televise sth.,,
B1,adverbs,danach,danach,after it,,
B1,nouns,Hand,der Hand,hand,der,
B1,nouns,Kopf,der Kopf,mind,der,
B1,adverbs,damals,damals,on that occasion,,
B1,adverbs,endlich,endlich,terminating,,
B1,nouns,Fünf,der Fünf,five,der,
B1,nouns,Person,der Person,character,der,
B1,adverbs,schwer,schwer,pregnantly,,
B1,adverbs,egal,egal,never mind,,
B1,nouns,Hoch,der Hoch,high,der,
B1,adverbs,stark,stark,good at,,
B1,nouns,Alt,der Alt,antiqueness,der,
B1,nouns,Anfang,der Anfang,commencement,der,
B1,prepositions,gegenüber,gegenüber,vis-à-vis,,
B1,adverbs,oben,oben,upstairs,,
B1,adverbs,rund,rund,rounded,,
B1,adverbs,bekannt,bekannt,known,,
B1,adverbs,bisher,bisher,until now,,
B1,nouns,Eltern,der Eltern,parents,der,
B1,nouns,Europa,der Europa,Europe,der,
B1,nouns,Gott,der Gott,God,der,
B1,nouns,Los,der Los,lot,der,
B1,nouns,Mutter,der Mutter,mother,der,
B1,nouns,Gruppe,die Gruppe,bank,die,
B1,adverbs,trotzdem,trotzdem,anyway,,
B1,nouns,Artikel,der Artikel,article,der,
B1,nouns,Folge,die Folge,succession,die,
B1,nouns,Glück,der Glück,good fortune,der,
B1,nouns,Herr,der Herr,taskmaster,der,
B1,nouns,Hilfe,die Hilfe,help,die,
B1,adverbs,leicht,leicht,light,,
B1,nouns,Politik,die Politik,politics,die,
B1,nouns,Sache,die Sache,thing,die,
B1,nouns,Bayern,der Bayern,Bavarians,der,
B1,verbs,bisschen,bisschen,a bit,,
B1,nouns,Denken,der Denken,thought,der,
B1,nouns,Film,der Film,picture,der,
B1,nouns,Laut,der Laut,ejaculation,der,
B1,nouns,Regierung,die Regierung,government,die,
B1,nouns,Richtung,die Richtung,line,die,
B1,adjectives,schliesslich,schliesslich,in the end,,
B1,verbs,stellen,stellen,provides,,
B1,nouns,Team,der Team,panel,der,
B1,verbs,dürfen,dürfen,may,,
B1,nouns,Prozent,der Prozent,percentage,der,
B1,nouns,Sohn,der Sohn,son,der,
B1,nouns,Spass,der Spass,gag,der,
B1,nouns,Stelle,die Stelle,position of employment,die,
B1,nouns,Wort,der Wort,word,der,
B1,nouns,Ernst,der Ernst,seriousness,der,
B1,nouns,Mädchen,das Mädchen,kiddo,das,
B1,nouns,Vater,der Vater,father,der,
B1,nouns,Zukunft,der Zukunft,future,der,
B1,nouns,All,der All,universe,der,
B1,adverbs,darum,darum,for that reason,,
B1,nouns,Fahren,der Fahren,driving,der,
B1,nouns,Fest,der Fest,celebration,der,
B1,nouns,Form,der Form,baking dish,der,
B1,adverbs,frei,frei,ad lib,,
B1,nouns,Idee,die Idee,notion,die,
B1,nouns,Liegen,der Liegen,recumbency,der,
B1,nouns,Österreich,der Österreich,Austria,der,
B1,nouns,Hamburg,der Hamburg,Hamburg,der,
B1,adverbs,manchmal,manchmal,sometimes,,
B1,nouns,Wahl,der Wahl,ballot,der,
B1,nouns,Wert,der Wert,worth,der,
B1,nouns,Wien,der Wien,Wien,der,
B1,nouns,Folgen,der Folgen,implication,der,
B1,verbs,führen,führen,guides,,
B1,verbs,helfen,helfen,befriend,,
B1,nouns,Kosten,der Kosten,outlay,der,
B1,nouns,Suchen,das Suchen,searching,das,
B1,nouns,Ziel,der Ziel,bourn,der,
B1,adverbs,ziemlich,ziemlich,fairish,,
B1,nouns,Angst,der Angst,fear,der,
B1,adverbs,dadurch,dadurch,thereby,,
B1,nouns,Krieg,der Krieg,war,der,
B1,nouns,Lage,die Lage,layer,die,
B1,nouns,Mai,der Mai,May,der,
B1,nouns,September,der September,September,der,
B1,adverbs,voll,voll,at full blast,,
B1,adverbs,wann,wann,when,,
B1,adverbs,wieso,wieso,why,,
B1,prepositions,aufgrund,aufgrund,due to,,
B1,adverbs,insgesamt,insgesamt,all in all,,
B1,nouns,Klasse,die Klasse,grade,die,
B1,nouns,Preis,der Preis,award,der,
B1,adverbs,rein,rein,sheer,,
B1,nouns,Rolle,die Rolle,role,die,
B1,verbs,tagen,tagen,be in session,,
B1,nouns,Tod,der Tod,quietus,der,
B1,adverbs,völlig,völlig,altogether,,
B1,adverbs,zudem,zudem,in addition,,
B1,prepositions,ach,ach,oh,,
B1,prepositions,ausser,ausser,out of,,
B1,nouns,Gestern,der Gestern,yesterday,der,
B1,adverbs,irgendwie,irgendwie,somehow,,
B1,nouns,Kirche,die Kirche,church service,die,
B1,adverbs,meist,meist,almost,,
B1,nouns,März,der März,March,der,
B1,adverbs,vorbei,vorbei,over,,
B1,nouns,Zahlen,der Zahlen,numbers,der,
B1,nouns,Blick,der Blick,sight,der,
B1,adverbs,dagegen,dagegen,by way of contrast,,
B1,adverbs,ebenso,ebenso,also,,
B1,nouns,Führen,der Führen,conduct,der,
B1,nouns,Kaufen,der Kaufen,buying,der,
B1,nouns,Partei,der Partei,political party,der,
B1,nouns,Reden,der Reden,monologues,der,
B1,adverbs,wobei,wobei,but then again,,
B1,verbs,halten,halten,deems,,
B1,nouns,Junge,die Junge,boys,die,
B1,nouns,Moment,das Moment,moment,das,
B1,adverbs,schlecht,schlecht,evil,,
B1,nouns,Sechs,der Sechs,six,der,
B1,verbs,spielen,spielen,gambles,,
B1,nouns,Video,der Video,video recording,der,
B1,nouns,August,der August,August,der,
B1,nouns,Mitte,die Mitte,middle,die,
B1,nouns,November,der November,November,der,
B1,nouns,Scheisse,die Scheisse,shit,die,
B1,adverbs,wahrscheinlich,wahrscheinlich,probable,,
B1,nouns,April,der April,April,der,
B1,verbs,einigen,einigen,unify,,
B1,nouns,Frankfurt,der Frankfurt,Frankfurt an der Oder,der,
B1,adverbs,insbesondere,insbesondere,particularly,,
B1,prepositions,per,per,as from,,
B1,nouns,Raum,das Raum,room,das,
B1,nouns,System,der System,stave,der,
B1,adverbs,tatsächlich,tatsächlich,actual,,
B1,adverbs,gemeinsam,gemeinsam,common,,
B1,nouns,Juli,der Juli,July,der,
B1,nouns,Juni,der Juni,June,der,
B1,nouns,Links,der Links,links,der,
B1,adverbs,nämlich,nämlich,as a matter of fact,,
B1,nouns,Oktober,der Oktober,October,der,
B1,nouns,Schaffen,der Schaffen,tubs,der,
B1,nouns,Setzen,der Setzen,consolidation/setting of the soil,der,
B1,nouns,Suche,die Suche,search,die,
B1,verbs,gleich,gleich,parallel sth.,,
B1,nouns,Schön,der Schön,beauty,der,
B1,verbs,setzen,setzen,places,,
B1,verbs,denken,denken,thought,,
B1,adjectives,hoch,hoch,high,,
B1,nouns,Gleich,der Gleich,like,der,
B1,verbs,folgen,folgen,tails,,
B1,verbs,tun,tun,done,,
B1,nouns,Schnell,der Schnell,hank,der,
B1,adjectives,lang,lang,suffice,,
B1,verbs,schaffen,schaffen,beat,,
B1,verbs,suchen,suchen,prospected,,
B1,verbs,fahren,fahren,operates,,
B1,verbs,kaufen,kaufen,bought,,
B1,adverbs,wichtig,wichtig,bigger,,
B1,verbs,erhalten,erhalten,maintains,,
B1,nouns,Bekannt,der Bekannt,acquaintances,der,
B1,verbs,kosten,kosten,tastes,,
B1,adverbs,hoch,hoch,higher,,
B1,adjectives,weit,weit,further,,
B1,nouns,Leicht,der Leicht,lighter,der,
B1,nouns,Sprechen,das Sprechen,languages,das,
B1,nouns,Schwer,der Schwer,magnitude,der,
B1,nouns,Geben,der Geben,gifts,der,
B1,nouns,Verstehen,der Verstehen,common sense,der,
B1,verbs,reden,reden,discourses,,
B1,nouns,Rund,der Rund,rounds,der,
B1,adverbs,alt,alt,elderly,,
B1,nouns,Bleiben,der Bleiben,a place to stay,der,
B1,nouns,Frei,der Frei,prostitute's customer,der,
B1,verbs,liegen,liegen,situated,,
B1,nouns,Sicher,der Sicher,saver,der,
B1,verbs,stehen,stehen,represented,,
B1,adjectives,stark,stark,buff,,
B1,verbs,glauben,glauben,thought,,
B1,nouns,Hinter,der Hinter,buttock,der,
B1,verbs,zahlen,zahlen,paid,,
B1,adverbs,fest,fest,tighter,,
B1,verbs,unternehmen,unternehmen,made,,
B1,nouns,Passiert,der Passiert,passed,der,
B1,nouns,Mach,der Mach,go-getter,der,
B1,verbs,paar,paar,mate,,
B1,adjectives,reden,reden,discoursed,,
B1,adjectives,ernst,ernst,more serious,,
B1,adjectives,schlecht,schlecht,worse,,
B1,nouns,Alter,der Alter,ageing,der,
B1,nouns,Gar,der Gar,yarn,der,
B1,adverbs,hinter,hinter,posterior,,
B2,nouns,Herausforderung,die Herausforderung,challenge,die,
B2,nouns,Erkenntnis,die Erkenntnis,finding,die,
B2,nouns,Maßnahme,die Maßnahme,measure,die,
B2,nouns,Fähigkeit,die Fähigkeit,ability,die,
B2,nouns,Hinsicht,die Hinsicht,respect,die,
B2,nouns,Darstellung,die Darstellung,presentation,die,
B2,nouns,Einfluss,der Einfluss,influence,der,
B2,nouns,Aussage,die Aussage,statement,die,
B2,nouns,Strategie,die Strategie,strategy,die,
B2,nouns,Bestandteil,der Bestandteil,component,der,
B2,nouns,Verhältnis,das Verhältnis,relationship,das,
B2,nouns,Phänomen,das Phänomen,phenomenon,das,
B2,verbs,bewerten,bewerten,to evaluate,,
B2,verbs,vertreten,vertreten,to represent,,
B2,verbs,analysieren,analysieren,to analyze,,
B2,verbs,berücksichtigen,berücksichtigen,to take into account,,
B2,verbs,fördern,fördern,to promote,,
B2,verbs,beeinflussen,beeinflussen,to influence,,
B2,verbs,erfordern,erfordern,to require,,
B2,verbs,feststellen,feststellen,to determine,,
B2,verbs,beitragen,beitragen,to contribute,,
B2,verbs,vermitteln,vermitteln,to convey,,
B2,adjectives,wesentlich,wesentlich,essential,,
B2,adjectives,erheblich,erheblich,considerable,,
B2,adjectives,komplex,komplex,complex,,
B2,adjectives,relevant,relevant,relevant,,
B2,adjectives,langfristig,langfristig,long-term,,
B2,adjectives,überzeugend,überzeugend,convincing,,
B2,adjectives,sorgfältig,sorgfältig,careful,,
B2,adjectives,angemessen,angemessen,appropriate,,
B2,adjectives,präzise,präzise,precise,,
B2,adverbs,folglich,folglich,consequently,,
B2,adverbs,zugleich,zugleich,at the same time,,
B2,adverbs,allerdings,allerdings,however,,
B2,adverbs,zunehmend,zunehmend,increasingly,,
B2,adverbs,teilweise,teilweise,partly,,
B2,prepositions,hinsichtlich,hinsichtlich,regarding,,
B2,prepositions,anhand,anhand,based on,,
B2,prepositions,mithilfe,mithilfe,with the help of,,
B2,phrases,es lässt sich sagen,Es lässt sich sagen,it can be said,,
B2,phrases,im hinblick auf,Im Hinblick auf,with regard to,,
B2,phrases,darüber hinaus,Darüber hinaus,furthermore,,
B2,phrases,das hängt davon ab,Das hängt davon ab,that depends on it,,
B2,phrases,nicht nur sondern auch,Nicht nur ..., sondern auch ...,not only ... but also ...,
B2,adjectives,erster,erster,first,,
B2,adverbs,spät,spät,along the line,,
B2,verbs,gehören,gehören,found out,,
B2,nouns,Klein,das Klein,kiddie,das,
B2,nouns,Minute,die Minute,minutes,die,
B2,nouns,Jung,die Jung,boy,die,
B2,adjectives,letzter,letzter,ultimate,,
B2,nouns,Auge,die Auge,eyes,die,
B2,nouns,Ding,der Ding,things,der,
B2,adverbs,früh,früh,earlier,,
B2,verbs,bestehen,bestehen,insists,,
B2,verbs,passieren,passieren,happened,,
B2,verbs,laufen,laufen,walks,,
B2,verbs,stimmen,stimmen,votes,,
B2,nouns,Zweiter,der Zweiter,runner-up,der,
B2,verbs,erreichen,erreichen,approached,,
B2,verbs,versuchen,versuchen,tried,,
B2,nouns,Einsatz,der Einsatz,onset,der,
B2,adverbs,gleichzeitig,gleichzeitig,simultaneous,,
B2,nouns,Köln,der Köln,Cologne,der,
B2,adverbs,rechts,rechts,right,,
B2,nouns,Schweiz,der Schweiz,Switzerland,der,
B2,nouns,Stück,der Stück,chapter,der,
B2,verbs,fallen,fallen,drops,,
B2,nouns,Höhe,die Höhe,elevation,die,
B2,nouns,Job,der Job,racket,der,
B2,nouns,Michael,der Michael,Mikhail,der,
B2,nouns,Sex,der Sex,sexual intercourse,der,
B2,nouns,Sommer,der Sommer,summer,der,
B2,nouns,Titel,der Titel,music track,der,
B2,nouns,Tochter,der Tochter,daughter,der,
B2,nouns,Zahl,der Zahl,number,der,
B2,nouns,Zehn,der Zehn,ten,der,
B2,verbs,handeln,handeln,trades,,
B2,verbs,kennen,kennen,know,,
B2,nouns,Kunst,der Kunst,art,der,
B2,nouns,Mitarbeiter,der Mitarbeiter,staffer,der,
B2,nouns,Sorgen,der Sorgen,worries,der,
B2,verbs,verlieren,verlieren,shed,,
B2,nouns,Weise,die Weise,way,die,
B2,adverbs,zumindest,zumindest,"at a/the minimum, at least",,
B2,adverbs,übrigens,übrigens,incidentally,,
B2,nouns,Bad,der Bad,swim,der,
B2,nouns,Band,der Band,ribbon,der,
B2,nouns,Chance,die Chance,Spiel des Zufalls,die,
B2,nouns,Fehler,der Fehler,mistake,der,
B2,adverbs,hinaus,hinaus,out,,
B2,nouns,Menge,die Menge,batch,die,
